ORGANISM_ID|ORGANISM_NAME|ORGANISM_LEVEL|PARENT_ID|PARENT_NAME
4023|16-5B|4|153|Aspergillus
3999|16-5C|4|153|Aspergillus
4188|16D-1|4|1917|Aspergillus flocculosus
4102|2HL-M-8|4|283|Aspergillus niger
4117|3.05358|4|12|Aspergillus terreus
1476|5378|4|12|Aspergillus terreus
1629|95F-1|4|12|Aspergillus terreus
1564|A.R.M. 325|4|1562|Aspergillus rugulosus
1705|A1149|4|128|Aspergillus nidulans
1383|A1163|4|152|Aspergillus fumigatus
4000|A374|4|234|Aspergillus oryzae
1438|A437|4|234|Aspergillus oryzae
4103|AF044|4|153|Aspergillus
2365|AF119|4|153|Aspergillus
3983|AIL8|4|1400|Aspergillus flavipes
1715|AJ-2008001|4|153|Aspergillus
1410|AJ117509|4|153|Aspergillus
4090|AKRN|4|283|Aspergillus niger
4112|AM410|4|283|Aspergillus niger
4194|AS-107|4|1402|Aspergillus clavatus
4052|ATCC 1015|4|283|Aspergillus niger
132|ATCC 15517|4|21|Aspergillus parasiticus
4045|ATCC 18618|4|1446|Aspergillus fischeri
1626|ATCC 20386|4|234|Aspergillus oryzae
26|ATCC 20542|4|12|Aspergillus terreus
1463|ATCC 20655|4|1460|Aspergillus alliaceus
4246|ATCC 20656|4|1460|Aspergillus alliaceus
1454|ATCC 20857|4|152|Aspergillus fumigatus
1459|ATCC 22947|4|3|Aspergillus ochraceus
4264|ATCC 46645|4|152|Aspergillus fumigatus
2356|ATCC 58397|4|128|Aspergillus nidulans
4249|ATCC 9029|4|283|Aspergillus niger
1355|autolysate|4|283|Aspergillus niger
4191|AV-2|4|153|Aspergillus
3996|B-17|4|18|Aspergillus variecolor
2378|B-F-2|4|153|Aspergillus
1701|B5233|4|152|Aspergillus fumigatus
148|Bainier|4|133|Aspergillus ustus
3940|Bartoli|4|2089|Aspergillus ochraceoroseus
3988|BCC 4651|4|12|Aspergillus terreus
3998|BCC45335|4|1737|Aspergillus allahabadii
4183|BF-0142|4|128|Aspergillus nidulans
4252|BL-5-1|4|283|Aspergillus niger
1430|BM 939|4|152|Aspergillus fumigatus
4041|BM939|4|152|Aspergillus fumigatus
2366|C2WU|4|1402|Aspergillus clavatus
4174|CAM231|4|1356|Aspergillus japonicus
